566.347	1212.98	604.457	489.477
837.364	1599.87	530.625	513.502
860.872	1308.29	578.077	625.712
1761.57	2057.79	592.399	540.612
1142.71	2423.52	530.47	525.013
756.577	2205.34	527.928	573.185
677.757	1312.06	612.867	547.22
1008.48	1149.51	578.641	559.746
1141.23	1958.68	556.42	576.182
846.438	2171.25	548.753	541.542
584.198	1702.35	530.156	544.675
636.946	1176.65	587.368	584.693
1128.04	1524.32	619.393	554.514
1606.32	3245.72	497.922	529.664
544.553	1776.36	535.126	584.45
602.576	1092.53	698.38	584.025
1689.93	1759.24	550.821	609.977
1527.86	1622.75	515.774	551.663
1062.38	1867.32	586.243	560.801
1255.65	2206.8	562.177	569.4
731.261	2261.51	507.488	550.343
536.608	1580.58	555.026	563.829
768.484	1124.79	642.13	614.905
1226.03	1606.45	544.002	573.631
684.311	1890.71	534.409	564.61
621.871	1339.85	588.707	577.181
1070.55	1185.2	577.268	616.477
1446.43	1829.32	532.097	551.853
734.554	2008.43	546.2	560.965
879.262	1499.18	590.838	572.876
692.293	1719.82	545.183	603.895
646.566	1955.45	493.489	526.226
536.142	1698.63	496.281	535.404
672.24	1399.3	569.126	633.574
1602.45	3512.76	594.576	554.144
579.317	1146.46	414.13	441.339
603.365	968.614	458.226	583.29
854.855	1858.23	705.359	511.907
1364.5	3262.17	706.055	467.364
749.018	1680.82	430.969	478.719
483.786	1428.29	609.914	699.633
1141.47	2173.7	746.084	564.652
596.636	1122.56	403.224	447.003
511.26	1125.53	611.176	590.287
716.187	1188.52	795.579	526.361
1558.74	3341.9	516.819	458.657
564.706	931.161	500.6	447.449
622.388	1094.2	539.183	581.498
988.598	2052.79	587.348	558.709
1160.77	3568.64	699.436	485.878
664.714	1599.71	425.133	537.275
553.858	1349.75	685.672	576.667
909.487	1758.67	764.882	513.952
1206.26	3035.65	405.806	428.52
466.35	1144.52	576.257	618.086
611.347	1466.44	843.424	578.123
1181.86	3249.66	483.275	434.273
469.01	837.743	535.287	514.742
497.126	1196.27	614.816	689.974
721.167	1631.51	577.959	523.669
555.315	896.861	442.338	487.467
566.972	883.555	465.17	670.109
734.846	1192.8	615.917	516.966
1071.56	3365.62	790.749	456.406
1084.21	2017.74	477.036	512.683
692.22	1372.53	535.248	591.802
761.588	1408.97	775.132	536.195
1359.77	3335.12	600.275	461.371
514.401	1259.64	507.994	566.761
622.532	1032.47	378.96	610.29
697.385	903.403	559.063	455.383
492.922	1735.46	775.924	435.946
680.842	1309.39	474.594	527.012
694.444	1224.42	423.075	674.429
1229.47	3054.09	557.154	510.925
685.128	1353.24	660.848	457.497
881.966	2356.47	488.657	509.577
954.772	2927.67	442.223	505.515
674.83	1776.68	455.55	473.303
620.107	857.095	530.946	477.196
